name,address,coordinates,govprisons,private,geoprison,corecivicprison,coordinates_rev,State,stateshortname,PrisonName,stateprison,longitude,latitude,geometry
USP Canaan,"3057 ERIC J. WILLIAMS, MEMORIAL DRIVE, WAYMART, PA 18472",POINT (-75.41879997800773 41.56377317782002),1.0,0.0,0.0,0.0,"(41.56377317782002, -75.41879997800773)",Pennsylvania,PA,,,,,
FMC Carswell,"NAVAL AIR STATION, 1200 MEANDERING ROAD, FORT WORTH, TX 76114",POINT (-97.42098636452053 32.787200994074496),1.0,0.0,0.0,0.0,"(32.787200994074496, -97.42098636452053)",Texas,TX,,,,,
MCC Chicago,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",POINT (-87.63048171940846 41.876607899999996),1.0,0.0,0.0,0.0,"(41.876607899999996, -87.63048171940846)",Illinois,IL,,,,,
FCI Cumberland,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",POINT (-78.75421939148268 39.59717437287645),1.0,0.0,0.0,0.0,"(39.59717437287645, -78.75421939148268)",Maryland,MD,,,,,
FCI Danbury,"33 1/2 PEMBROKE STATION, ROUTE 37, DANBURY, CT 06811",POINT (-73.46817086670934 41.43681633048797),1.0,0.0,0.0,0.0,"(41.43681633048797, -73.46817086670934)",Connecticut,CT,,,,,
FMC Devens,"42 PATTON ROAD, AYER, MA 01432",POINT (-71.62115453775499 42.525268100000005),1.0,0.0,0.0,0.0,"(42.525268100000005, -71.62115453775499)",Massachusetts,MA,,,,,
FCI Dublin,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",POINT (-121.89489376452053 37.717852542407165),1.0,0.0,0.0,0.0,"(37.717852542407165, -121.89489376452053)",California,CA,,,,,
FPC Duluth,"4464 RALSTON DRIVE, DULUTH, MN 55811",POINT (-92.19824752298643 46.83481635),1.0,0.0,0.0,0.0,"(46.83481635, -92.19824752298643)",Minnesota,MN,,,,,
FCI Edgefield,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",POINT (-81.91679109291944 33.757527749999994),1.0,0.0,0.0,0.0,"(33.757527749999994, -81.91679109291944)",South Carolina,SC,,,,,
FCI El Reno,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",POINT (-98.00556372026962 35.534338838590934),1.0,0.0,0.0,0.0,"(35.534338838590934, -98.00556372026962)",Oklahoma,OK,,,,,
FCI Elkton,"8730 SCROGGS ROAD, LISBON, OH 44432",POINT (-80.70447567080664 40.7727182),1.0,0.0,0.0,0.0,"(40.7727182, -80.70447567080664)",Ohio,OH,,,,,
FCI Englewood,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",POINT (-105.10555175798672 39.64195565),1.0,0.0,0.0,0.0,"(39.64195565, -105.10555175798672)",Colorado,CO,,,,,
FCI Estill,"100 PRISON ROAD, ESTILL, SC 29918",POINT (-81.25527173983164 32.72113895),1.0,0.0,0.0,0.0,"(32.72113895, -81.25527173983164)",South Carolina,SC,,,,,
FCI Fairton,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",POINT (-75.16019509856726 39.3848274),1.0,0.0,0.0,0.0,"(39.3848274, -75.16019509856726)",New Jersey,NJ,,,,,
FCI Fort Dix,"5756 HARTFORD &, POINTVILLE RD, JOINT BASE MDL, NJ 08640",POINT (-74.6137014240197 39.9987778837902),1.0,0.0,0.0,0.0,"(39.9987778837902, -74.6137014240197)",New Jersey,NJ,,,,,
FMC Fort Worth,"3150 HORTON ROAD, FORT WORTH, TX 76119",POINT (-97.28771803684184 32.67959175),1.0,0.0,0.0,0.0,"(32.67959175, -97.28771803684184)",Texas,TX,,,,,
FCI Gilmer,"201 FCI LANE, GLENVILLE, WV 26351",POINT (-80.78460032224099 38.91563821279277),1.0,0.0,0.0,0.0,"(38.91563821279277, -80.78460032224099)",West Virginia,WV,,,,,
FCI Greenville,"100 U.S. HWY 40, GREENVILLE, IL 62246",POINT (-89.40970648168262 38.86800408197444),1.0,0.0,0.0,0.0,"(38.86800408197444, -89.40970648168262)",Illinois,IL,,,,,
MDC Guaynabo,"652 CARRETERA 28, GUAYNABO, PR 00965",POINT (-66.1122719525054 18.4231872),1.0,0.0,0.0,0.0,"(18.4231872, -66.1122719525054)",Guaynabo,Guaynabo,,,,,
FCI Herlong,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",POINT (-120.16617138186959 40.1511724),1.0,0.0,0.0,0.0,"(40.1511724, -120.16617138186959)",California,CA,,,,,
FDC Honolulu,"351 ELLIOTT ST, HONOLULU, HI 96819",POINT (-157.92835415610438 21.33321225),1.0,0.0,0.0,0.0,"(21.33321225, -157.92835415610438)",Hawaii,HI,,,,,
FDC Houston,"1200 TEXAS AVENUE, HOUSTON, TX 77002",POINT (-95.36068808447008 29.7582326),1.0,0.0,0.0,0.0,"(29.7582326, -95.36068808447008)",Texas,TX,,,,,
FCI Jesup,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",POINT (-81.90238047795935 31.564038856222506),1.0,0.0,0.0,0.0,"(31.564038856222506, -81.90238047795935)",Georgia,GA,,,,,
FCI La Tuna,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",POINT (-106.59142607986166 31.982325706596434),1.0,0.0,0.0,0.0,"(31.982325706596434, -106.59142607986166)",Texas,TX,,,,,
FCI Leavenworth,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",POINT (-94.93573537929083 39.33038665),1.0,0.0,0.0,0.0,"(39.33038665, -94.93573537929083)",Kansas,KS,,,,,
USP Lee,"LEE COUNTY INDUSTRIAL PARK, HICKORY FLATS ROAD, PENNINGTON GAP, VA 24277",POINT (-83.00166072217728 36.70318653900045),1.0,0.0,0.0,0.0,"(36.70318653900045, -83.00166072217728)",Virginia,VA,,,,,
FCI Lewisburg,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",POINT (-76.91496148775201 40.988063249999996),1.0,0.0,0.0,0.0,"(40.988063249999996, -76.91496148775201)",Pennsylvania,PA,,,,,
FMC Lexington,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",POINT (-84.55996125434804 38.10551845),1.0,0.0,0.0,0.0,"(38.10551845, -84.55996125434804)",Kentucky,KY,,,,,
FCI Loretto,"772 SAINT JOSEPH ST., LORETTO, PA 15940",POINT (-78.62141888147649 40.4959374),1.0,0.0,0.0,0.0,"(40.4959374, -78.62141888147649)",Pennsylvania,PA,,,,,
MDC Los Angeles,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",POINT (-118.23854943933242 34.0535694),1.0,0.0,0.0,0.0,"(34.0535694, -118.23854943933242)",California,CA,,,,,
FCI Manchester,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",POINT (-83.7894428327021 37.1793818),1.0,0.0,0.0,0.0,"(37.1793818, -83.7894428327021)",Kentucky,KY,,,,,
FCI Marianna,"3625 FCI ROAD, MARIANNA, FL 32446",POINT (-85.18865643753922 30.826945813563544),1.0,0.0,0.0,0.0,"(30.826945813563544, -85.18865643753922)",Florida,FL,,,,,
FCI Marion,"4500 PRISON ROAD, MARION, IL 62959",POINT (-88.98406004347129 37.66315175),1.0,0.0,0.0,0.0,"(37.66315175, -88.98406004347129)",Illinois,IL,,,,,
USP McCreary,"330 FEDERAL WAY, PINE KNOT, KY 42635",POINT (-84.38714679053791 36.68829375),1.0,0.0,0.0,0.0,"(36.68829375, -84.38714679053791)",Kentucky,KY,,,,,
FCI McDowell,"101 FEDERAL DRIVE, WELCH, WV 24801",POINT (-81.55327006264585 37.470604877972384),1.0,0.0,0.0,0.0,"(37.470604877972384, -81.55327006264585)",West Virginia,WV,,,,,
FCI McKean,"6975 ROUTE 59, LEWIS RUN, PA 16738",POINT (-78.68714233759677 41.79851586057505),1.0,0.0,0.0,0.0,"(41.79851586057505, -78.68714233759677)",Pennsylvania,PA,,,,,
FCI Memphis,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",POINT (-89.86707978655065 35.15568465),1.0,0.0,0.0,0.0,"(35.15568465, -89.86707978655065)",Tennessee,TN,,,,,
FCI Mendota,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",POINT (-120.39185767876535 36.73080615000001),1.0,0.0,0.0,0.0,"(36.73080615000001, -120.39185767876535)",California,CA,,,,,
FCI Miami,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",POINT (-80.41254769339652 25.618598782297358),1.0,0.0,0.0,0.0,"(25.618598782297358, -80.41254769339652)",Florida,FL,,,,,
FDC Miami,"33 NE 4TH STREET, MIAMI, FL 33132",POINT (-80.19323661085325 25.7784335),1.0,0.0,0.0,0.0,"(25.7784335, -80.19323661085325)",Florida,FL,,,,,
FCI Milan,"4004 EAST ARKONA ROAD, MILAN, MI 48160",POINT (-83.66873350846663 42.094765800000005),1.0,0.0,0.0,0.0,"(42.094765800000005, -83.66873350846663)",Michigan,MI,,,,,
FPC Montgomery,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",POINT (-86.35330759865383 32.3818479),1.0,0.0,0.0,0.0,"(32.3818479, -86.35330759865383)",Alabama,AL,,,,,
FPC Morgantown,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",POINT (-79.94932064733 39.6022357278499),1.0,0.0,0.0,0.0,"(39.6022357278499, -79.94932064733)",West Virginia,WV,,,,,
MCC New York,"150 PARK ROW, NEW YORK, NY 10007",POINT (-74.00153453151106 40.713208449999996),1.0,0.0,0.0,0.0,"(40.713208449999996, -74.00153453151106)",New York,NY,,,,,
FTC Oklahoma City,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",POINT (-97.61676088615309 35.390928349999996),1.0,0.0,0.0,0.0,"(35.390928349999996, -97.61676088615309)",Oklahoma,OK,,,,,
FCI Otisville,"TWO MILE DRIVE, OTISVILLE, NY 10963",POINT (-74.52744592034327 41.49572031926654),1.0,0.0,0.0,0.0,"(41.49572031926654, -74.52744592034327)",New York,NY,,,,,
FCI Oxford,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",POINT (-89.64961202218646 43.86386574287293),1.0,0.0,0.0,0.0,"(43.86386574287293, -89.64961202218646)",Wisconsin,WI,,,,,
FCI Pekin,"2600 S. SECOND ST., PEKIN, IL 61554",POINT (-89.66217716077652 40.53579820212379),1.0,0.0,0.0,0.0,"(40.53579820212379, -89.66217716077652)",Illinois,IL,,,,,
FPC Pensacola,"110 RABY AVE, PENSACOLA, FL 32509",POINT (-87.3431831798233 30.463654293519205),1.0,0.0,0.0,0.0,"(30.463654293519205, -87.3431831798233)",Florida,FL,,,,,
FDC Philadelphia,"700 ARCH STREET, PHILADELPHIA, PA 19106",POINT (-75.15202163851058 39.9525541),1.0,0.0,0.0,0.0,"(39.9525541, -75.15202163851058)",Pennsylvania,PA,,,,,
FCI Phoenix,"37900 N 45TH AVE, PHOENIX, AZ 85086",POINT (-112.1556693097573 33.86714562298883),1.0,0.0,0.0,0.0,"(33.86714562298883, -112.1556693097573)",Arizona,AZ,,,,,
FCI Ray Brook,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",POINT (-74.09279355651645 44.29001715),1.0,0.0,0.0,0.0,"(44.29001715, -74.09279355651645)",New York,NY,,,,,
FMC Rochester,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",POINT (-92.44021619994156 44.02342351857574),1.0,0.0,0.0,0.0,"(44.02342351857574, -92.44021619994156)",Minnesota,MN,,,,,
FCI Safford,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",POINT (-109.72490067800086 32.71733046719931),1.0,0.0,0.0,0.0,"(32.71733046719931, -109.72490067800086)",Arizona,AZ,,,,,
MCC San Diego,"808 UNION STREET, SAN DIEGO, CA 92101",POINT (-117.16607047499076 32.713926900000004),1.0,0.0,0.0,0.0,"(32.713926900000004, -117.16607047499076)",California,CA,,,,,
FCI Sandstone,"2300 COUNTY RD 29, SANDSTONE, MN 55072",POINT (-92.84516123571287 46.11443363671871),1.0,0.0,0.0,0.0,"(46.11443363671871, -92.84516123571287)",Minnesota,MN,,,,,
FCI Schuylkill,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",POINT (-76.34396723568524 40.73235645339692),1.0,0.0,0.0,0.0,"(40.73235645339692, -76.34396723568524)",Pennsylvania,PA,,,,,
FCI Seagoville,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",POINT (-96.56770996654602 32.65476565),1.0,0.0,0.0,0.0,"(32.65476565, -96.56770996654602)",Texas,TX,,,,,
FDC SeaTac,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",POINT (-122.30124523509897 47.421902700000004),1.0,0.0,0.0,0.0,"(47.421902700000004, -122.30124523509897)",Washington,WA,,,,,
FCI Sheridan,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",POINT (-123.38158554917628 45.08415773051674),1.0,0.0,0.0,0.0,"(45.08415773051674, -123.38158554917628)",Oregon,OR,,,,,
MCFP Springfield,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",POINT (-93.32479822053928 37.1778013),1.0,0.0,0.0,0.0,"(37.1778013, -93.32479822053928)",Missouri,MO,,,,,
FCI Talladega,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",POINT (-86.14010448648621 33.42064455),1.0,0.0,0.0,0.0,"(33.42064455, -86.14010448648621)",Alabama,AL,,,,,
FCI Tallahassee,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",POINT (-84.22431263385123 30.443284142482636),1.0,0.0,0.0,0.0,"(30.443284142482636, -84.22431263385123)",Florida,FL,,,,,
FCI Terminal Island,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",POINT (-118.26827256277636 33.72849211964563),1.0,0.0,0.0,0.0,"(33.72849211964563, -118.26827256277636)",California,CA,,,,,
FCI Texarkana,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",POINT (-94.08846147262997 33.37686855),1.0,0.0,0.0,0.0,"(33.37686855, -94.08846147262997)",Texas,TX,,,,,
FCI Thomson,"1100 ONE MILE ROAD, THOMSON, IL 61285",POINT (-90.10934356390288 41.9729504),1.0,0.0,0.0,0.0,"(41.9729504, -90.10934356390288)",Illinois,IL,,,,,
FCI Three Rivers,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",POINT (-98.32243893753 28.44480784053955),1.0,0.0,0.0,0.0,"(28.44480784053955, -98.32243893753)",Texas,TX,,,,,
FCI Waseca,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",POINT (-93.51733706632686 44.06730881431731),1.0,0.0,0.0,0.0,"(44.06730881431731, -93.51733706632686)",Minnesota,MN,,,,,
FCI Williamsburg,"8301 HIGHWAY 521, SALTERS, SC 29590",POINT (-79.87729757921426 33.58817085),1.0,0.0,0.0,0.0,"(33.58817085, -79.87729757921426)",South Carolina,SC,,,,,
FPC Yankton,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",POINT (-97.39037140676396 42.87970765),1.0,0.0,0.0,0.0,"(42.87970765, -97.39037140676396)",South Dakota,SD,,,,,
Adelanto ICE Processing Center,"10400 Rancho Road, Adelanto, CA 92301",POINT (-117.438176 34.557702),0.0,1.0,1.0,0.0,"(34.557702, -117.438176)",California,CA,,,,,
Alexandria Staging Facility,"96 George Thompson Drive, Alexandria, LA 71303",POINT (-92.53650955101176 31.317695596879283),0.0,1.0,1.0,0.0,"(31.317695596879283, -92.53650955101176)",Louisiana,LA,,,,,
Aurora ICE Processing Center,"3130 North Oakland Street, Aurora, CO 80010",POINT (-104.85109540388297 39.71643465074916),0.0,1.0,1.0,0.0,"(39.71643465074916, -104.85109540388297)",Colorado,CO,,,,,
Big Spring Correctional Facility,"3711 Wright Avenue, Big Spring , TX 79720",POINT (-101.50679271428571 32.22155528571428),0.0,1.0,1.0,0.0,"(32.22155528571428, -101.50679271428571)",Texas,TX,,,,,
Blackwater River Correctional and Rehabilitation Facility,"5914 Jeff Ates Road, Milton, FL 32583",POINT (-86.9506011083889 30.6457334),0.0,1.0,1.0,0.0,"(30.6457334, -86.9506011083889)",Florida,FL,,,,,
Brooks County Detention Center,"901 County Road 201, Falfurrias, TX 78355",POINT (-98.12584680802254 27.2482748),0.0,1.0,1.0,0.0,"(27.2482748, -98.12584680802254)",Texas,TX,,,,,
Broward Transitional Center,"3900 North Powerline Road, Deerfield Beach, FL 33073",POINT (-80.15197 26.27590993227142),0.0,1.0,1.0,0.0,"(26.27590993227142, -80.15197)",Florida,FL,,,,,
Central Arizona Correctional Facility,"1401 E. Diversion Dam Road, Florence, AZ 85132",POINT (-111.3714936091433 33.03852309157933),0.0,1.0,1.0,0.0,"(33.03852309157933, -111.3714936091433)",Arizona,AZ,,,,,
Central Louisiana ICE Processing Center,"830 Pinehill Road, PO Box 2826, Jena, LA 71342",POINT (-92.15236 31.70834),0.0,1.0,1.0,0.0,"(31.70834, -92.15236)",Louisiana,LA,,,,,
Central Regional Office,"1777 NE Loop 410, Suite 1100, San Antonio, TX 78217",POINT (-98.43685425521 29.51759015620588),0.0,1.0,1.0,0.0,"(29.51759015620588, -98.43685425521)",Texas,TX,,,,,
Central Valley Annex,"254 Taylor Avenue, McFarland, CA 93250",POINT (-119.2302945510204 35.667253),0.0,1.0,1.0,0.0,"(35.667253, -119.2302945510204)",California,CA,,,,,
Coastal Bend Detention Center,"4909 FM 2826, Robstown, TX 78380",POINT (-97.75478865101103 27.737099668125623),0.0,1.0,1.0,0.0,"(27.737099668125623, -97.75478865101103)",Texas,TX,,,,,
D. Ray James Correctional Facility,"3262 Highway 252, Folkston , GA 31537",POINT (-81.9798784449051 30.874139815970125),0.0,1.0,1.0,0.0,"(30.874139815970125, -81.9798784449051)",Georgia,GA,,,,,
Desert View Annex,"10450 Rancho Rd, Adelanto, CA 92301",POINT (-117.43728129933456 34.559940350000005),0.0,1.0,1.0,0.0,"(34.559940350000005, -117.43728129933456)",California,CA,,,,,
Eagle Pass Detention Facility,"742 Texas Highway 131, Eagle Pass, TX 78852-7710",POINT (-100.53414886451674 28.867369109180544),0.0,1.0,1.0,0.0,"(28.867369109180544, -100.53414886451674)",Texas,TX,,,,,
East Hidalgo Detention Center,"1300 Highway 107, LaVilla, TX 78562",POINT (-97.91823057980791 26.29595349059689),0.0,1.0,1.0,0.0,"(26.29595349059689, -97.91823057980791)",Texas,TX,,,,,
Eastern Regional Office,"13777 Ballantyne Corporate Place, Suite 200, Charlotte, NC 28277",POINT (-80.85260593567604 35.06044842055072),0.0,1.0,1.0,0.0,"(35.06044842055072, -80.85260593567604)",North Carolina,NC,,,,,
El Centro Detention Facility,"1115 N. Imperial Ave. El Centro, CA 92243",POINT (-115.56988248007286 32.796129895134804),0.0,1.0,1.0,0.0,"(32.796129895134804, -115.56988248007286)",California,CA,,,,,
Flightline Correctional Facility,"2001 Rickabaugh Dr, Big Spring, TX 79720",POINT (-101.527998 32.227461),0.0,1.0,1.0,0.0,"(32.227461, -101.527998)",Texas,TX,,,,,
Florence West Correctional and Rehabilitation Facility,"915 East Diversion Dam Road, PO Box 1599, Florence, AZ 85232",POINT (-111.37471276242339 33.037846679455065),0.0,1.0,1.0,0.0,"(33.037846679455065, -111.37471276242339)",Arizona,AZ,,,,,
Folkston ICE Processing Center,"3026 Hwy 252 E Folkston, GA 31537, PO Box address: PO Box 98 Folkston, GA 31537",POINT (-81.98116520869699 30.87153184050311),0.0,1.0,1.0,0.0,"(30.87153184050311, -81.98116520869699)",Georgia,GA,,,,,
Golden State Annex,"611 Frontage Road, McFarland, CA 93250",POINT (-119.225036 35.667329),0.0,1.0,1.0,0.0,"(35.667329, -119.225036)",California,CA,,,,,
Great Plains Correctional Facility,"700 Sugar Creek Drive, Hinton, OK 73047",POINT (-98.360978 35.445904),0.0,1.0,1.0,0.0,"(35.445904, -98.360978)",Oklahoma,OK,,,,,
Guadalupe County Correctional Facility,"South Highway 54, PO Box 520, Santa Rosa, NM 88435",POINT (-104.70297795102944 34.908477867517206),0.0,1.0,1.0,0.0,"(34.908477867517206, -104.70297795102944)",New Mexico,NM,,,,,
Heritage Trail Correctional Facility,"501 West Main Street, Plainfield , IN 46168",POINT (-86.41330864367937 39.690332999999995),0.0,1.0,1.0,0.0,"(39.690332999999995, -86.41330864367937)",Indiana,IN,,,,,
Joe Corley Processing Center,"500 Hilbig Street, Conroe, TX 77301",POINT (-95.44788652217959 30.336000717972265),0.0,1.0,1.0,0.0,"(30.336000717972265, -95.44788652217959)",Texas,TX,,,,,
Karnes County Detention Facility,"810 Commerce Street, Karnes City, TX 78118",POINT (-97.91184813638574 28.883485049999997),0.0,1.0,1.0,0.0,"(28.883485049999997, -97.91184813638574)",Texas,TX,,,,,
Karnes County Immigration Processing Center,"409 FM 1144, Karnes City, TX 78118",POINT (-97.91505753801883 28.88374185),0.0,1.0,1.0,0.0,"(28.88374185, -97.91505753801883)",Texas,TX,,,,,
Kingman Correctional and Rehabilitation Facility,"4626 W. English Drive, Golden Valley, AZ 86414",POINT (-114.17970782216268 35.02911435226976),0.0,1.0,1.0,0.0,"(35.02911435226976, -114.17970782216268)",Arizona,AZ,,,,,
Kinney County Detention Center,"1501 Ranch Road 131 Brackettville, TX 78832",POINT (-100.41089658169184 29.284705965973224),0.0,1.0,1.0,0.0,"(29.284705965973224, -100.41089658169184)",Texas,TX,,,,,
Lawton Correctional and Rehabilitation Facility,"8607 SE Flower Mound Rd, Lawton, OK 73501",POINT (-98.3565649488287 34.52482205),0.0,1.0,1.0,0.0,"(34.52482205, -98.3565649488287)",Oklahoma,OK,,,,,
Lea County Correctional Facility,"6900 West Millen Drive, Hobbs, NM 88240",POINT (-103.22492470031659 32.76406675),0.0,1.0,1.0,0.0,"(32.76406675, -103.22492470031659)",New Mexico,NM,,,,,
McFarland Female Community Reentry Facility,"120 Taylor Ave, McFarland, CA 93250",POINT (-119.2269534318227 35.66807245),0.0,1.0,1.0,0.0,"(35.66807245, -119.2269534318227)",California,CA,,,,,
Mesa Verde ICE Processing Center,"425 Golden State Avenue, Bakersfield, CA 93301",POINT (-119.00608035714285 35.38071298979592),0.0,1.0,1.0,0.0,"(35.38071298979592, -119.00608035714285)",California,CA,,,,,
Montgomery Processing Center,"806 Hilbig St, Conroe, TX 77301",POINT (-95.44314119148805 30.338255871328084),0.0,1.0,1.0,0.0,"(30.338255871328084, -95.44314119148805)",Texas,TX,,,,,
Moore Haven Correctional and Rehabilitation Facility,"1282 East State Road 78, Moore Haven, FL 33471",POINT (-81.12018767983864 26.83848887791305),0.0,1.0,1.0,0.0,"(26.83848887791305, -81.12018767983864)",Florida,FL,,,,,
Moshannon Valley Processing Center,"555 GEO Drive, Philipsburg, PA 16866",POINT (-78.24215037799853 40.92128754338769),0.0,1.0,1.0,0.0,"(40.92128754338769, -78.24215037799853)",Pennsylvania,PA,,,,,
New Castle Correctional Facility,"1000 Van Nuys Road,  New Castle, IN 47362",POINT (-85.37181569545598 39.962787399999996),0.0,1.0,1.0,0.0,"(39.962787399999996, -85.37181569545598)",Indiana,IN,,,,,
North Lake Correctional Facility,"1805 West 32nd Street Baldwin, MI 49304",POINT (-85.83929216456572 43.92868978523483),0.0,1.0,1.0,0.0,"(43.92868978523483, -85.83929216456572)",Michigan,MI,,,,,
Northwest ICE Processing Center,"1623 East J Street, Tacoma, WA 98421",POINT (-122.42239467965067 47.24904232727368),0.0,1.0,1.0,0.0,"(47.24904232727368, -122.42239467965067)",Washington,WA,,,,,
Phoenix West Correctional and Rehabilitation Facility,"3402 West Cocopah Street, Phoenix, AZ 85009",POINT (-112.13287190943078 33.43274365),0.0,1.0,1.0,0.0,"(33.43274365, -112.13287190943078)",Arizona,AZ,,,,,
Pine Prairie ICE Processing Center,"1133 Hampton Dupre Road, Pine Prairie, LA 70576",POINT (-92.4227559 30.7884208),0.0,1.0,1.0,0.0,"(30.7884208, -92.4227559)",Louisiana,LA,,,,,
Rio Grande Processing Center,"1001 San Rio Boulevard, Laredo, TX 78046",POINT (-99.486229 27.379978),0.0,1.0,1.0,0.0,"(27.379978, -99.486229)",Texas,TX,,,,,
Riverbend Correctional and Rehabilitation Facility,"196 Laying Farm Road, Milledgeville, GA 31061",POINT (-83.2195144598597 33.0281735),0.0,1.0,1.0,0.0,"(33.0281735, -83.2195144598597)",Georgia,GA,,,,,
Rivers Correctional Facility,"145 Parker's Fishery Road, PO Box 840, Winton, NC 27986",POINT (-76.95871344915939 36.40374541645257),0.0,1.0,1.0,0.0,"(36.40374541645257, -76.95871344915939)",North Carolina,NC,,,,,
Robert A. Deyton Detention Facility,"11866 Hastings Bridge Road, PO Box 429, Lovejoy, GA 30250",POINT (-84.30644853569676 33.43508101339713),0.0,1.0,1.0,0.0,"(33.43508101339713, -84.30644853569676)",Georgia,GA,,,,,
South Bay Correctional and Rehabilitation Facility,"600 US Highway 27 S, South Bay, FL 33493",POINT (-80.71794685340755 26.657746756304444),0.0,1.0,1.0,0.0,"(26.657746756304444, -80.71794685340755)",Florida,FL,,,,,
